Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Beijing,PM2.5,1/1/16 0:00,2016,1,1,0,231,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 1:00,2016,1,1,1,239,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 2:00,2016,1,1,2,205,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 3:00,2016,1,1,3,167,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 4:00,2016,1,1,4,132,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 5:00,2016,1,1,5,169,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 6:00,2016,1,1,6,162,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 7:00,2016,1,1,7,123,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 8:00,2016,1,1,8,100,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 9:00,2016,1,1,9,101,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 10:00,2016,1,1,10,111,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 11:00,2016,1,1,11,115,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 12:00,2016,1,1,12,135,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 13:00,2016,1,1,13,165,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 14:00,2016,1,1,14,176,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 15:00,2016,1,1,15,187,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 16:00,2016,1,1,16,207,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 17:00,2016,1,1,17,235,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 18:00,2016,1,1,18,268,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 19:00,2016,1,1,19,302,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 20:00,2016,1,1,20,330,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 21:00,2016,1,1,21,345,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 22:00,2016,1,1,22,375,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/1/16 23:00,2016,1,1,23,400,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 0:00,2016,1,2,0,362,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 1:00,2016,1,2,1,321,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 2:00,2016,1,2,2,230,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 3:00,2016,1,2,3,225,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 4:00,2016,1,2,4,198,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 5:00,2016,1,2,5,191,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 6:00,2016,1,2,6,199,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 7:00,2016,1,2,7,206,µg/m_,1 Hr,Valid
Beijing,PM2.5,1/2/16 8:00,2016,1,2,8,230,µg/m_,1 Hr,Valid
