Date (LST),Value
1/1/16 0:00,231
1/1/16 1:00,239
1/1/16 2:00,205
1/1/16 3:00,167
1/1/16 4:00,132
1/1/16 5:00,169
1/1/16 6:00,162
1/1/16 7:00,123
1/1/16 8:00,100
1/1/16 9:00,101
1/1/16 10:00,111
1/1/16 11:00,115
1/1/16 12:00,135
1/1/16 13:00,165
1/1/16 14:00,176
1/1/16 15:00,187
1/1/16 16:00,207
1/1/16 17:00,235
1/1/16 18:00,268
1/1/16 19:00,302
1/1/16 20:00,330
1/1/16 21:00,345
1/1/16 22:00,375
1/1/16 23:00,400
1/2/16 0:00,362
1/2/16 1:00,321
1/2/16 2:00,230
1/2/16 3:00,225
1/2/16 4:00,198
1/2/16 5:00,191
1/2/16 6:00,199
1/2/16 7:00,206
1/2/16 8:00,230
1/2/16 9:00,279
1/2/16 10:00,199
1/2/16 11:00,220
1/2/16 12:00,222
1/2/16 13:00,220
1/2/16 14:00,198
1/2/16 15:00,208
1/2/16 16:00,240
1/2/16 17:00,293
1/2/16 18:00,368
1/2/16 19:00,493
1/2/16 20:00,517
1/2/16 21:00,501
1/2/16 22:00,496
1/2/16 23:00,559
1/3/16 0:00,530
1/3/16 1:00,582
1/3/16 2:00,406
1/3/16 3:00,261
1/3/16 4:00,244
1/3/16 5:00,229
1/3/16 6:00,176
1/3/16 7:00,178
1/3/16 8:00,166
1/3/16 9:00,131
1/3/16 10:00,131
1/3/16 11:00,107
1/3/16 12:00,103
1/3/16 13:00,100
1/3/16 14:00,107
1/3/16 15:00,115
1/3/16 16:00,157
1/3/16 17:00,208
1/3/16 18:00,214
1/3/16 19:00,217
1/3/16 20:00,217
1/3/16 21:00,229
1/3/16 22:00,239
1/3/16 23:00,243
1/4/16 0:00,251
1/4/16 1:00,231
1/4/16 2:00,70
1/4/16 3:00,11
1/4/16 4:00,7
1/4/16 5:00,8
1/4/16 6:00,9
1/4/16 7:00,10
1/4/16 8:00,6
1/4/16 9:00,12
1/4/16 10:00,13
1/4/16 11:00,12
1/4/16 12:00,15
1/4/16 13:00,10
1/4/16 14:00,16
1/4/16 15:00,14
1/4/16 16:00,16
1/4/16 17:00,11
1/4/16 18:00,16
1/4/16 19:00,14
1/4/16 20:00,11
