Date,AQS_SITE_ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,HIGH_TEMP,LOW_TEMP,AVG_TEMP
1/1/16,60750005,3,12.8,ug/m3 LC,52,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,49,37,43
1/2/16,60750005,3,13.2,ug/m3 LC,53,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,51,44,47.5
1/3/16,60750005,3,19.6,ug/m3 LC,67,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,53,44,48.5
1/4/16,60750005,3,17.1,ug/m3 LC,62,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,58,47,52.5
1/5/16,60750005,3,6.5,ug/m3 LC,27,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,55,50,52.5
1/6/16,60750005,3,4.6,ug/m3 LC,19,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,55,48,51.5
1/7/16,60750005,3,9,ug/m3 LC,38,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,53,44,48.5
1/8/16,60750005,3,13.9,ug/m3 LC,55,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,51,42,46.5
1/9/16,60750005,3,9.8,ug/m3 LC,41,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,54,49,51.5
1/10/16,60750005,3,9.5,ug/m3 LC,40,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,54,50,52
1/11/16,60750005,3,14,ug/m3 LC,55,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,56,50,53
1/12/16,60750005,3,14.2,ug/m3 LC,55,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,59,49,54
1/13/16,60750005,3,9.3,ug/m3 LC,39,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,59,48,53.5
1/14/16,60750005,3,7.7,ug/m3 LC,32,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,57,44,50.5
1/15/16,60750005,3,11.4,ug/m3 LC,48,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,57,50,53.5
1/16/16,60750005,3,7.2,ug/m3 LC,30,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,51,56
1/17/16,60750005,3,5.5,ug/m3 LC,23,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,60,54,57
1/18/16,60750005,3,5.9,ug/m3 LC,25,1,100,88101,PM2.5 - Local Conditions,41860,"San Francisco-Oakland-Hayward, CA",6,California,75,San Francisco,37.765946,-122.399044,61,53,57
